date,close,high,low,open,volume,ticker,day_of_week,day_of_month,week_of_year,month,quarter,year,is_month_start,is_month_end,is_week_start,is_week_end,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,high_lag_1,high_lag_2,high_lag_3,high_lag_5,high_lag_10,low_lag_1,low_lag_2,low_lag_3,low_lag_5,low_lag_10,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,future_return_1d,future_return_2d,future_return_5d,future_return_10d,past_return_1d,past_return_2d,past_return_5d,past_return_10d,daily_range,daily_range_abs,gap,close_to_open,close_to_high,close_to_low,volatility_5d,volatility_10d,volatility_21d,atr_5d,atr_10d,atr_21d,momentum_5d,momentum_10d,momentum_21d,volume_change_5d,volume_change_10d,volume_change_21d,close_to_ma_5d,close_to_ma_10d,close_to_ma_21d,volume_change_rate
2010-03-25,22.53243637084961,22.952901290470393,22.3747611309316,22.397286574375983,73168700,MSFT,3,25,12,3,1,2010,0,0,False,False,22.262136459350582,22.43482780456543,22.224592208862305,22.232105255126953,21.909242630004883,22.41230321597171,22.449844767033408,22.29967557610059,22.314695687166108,21.916751109738826,22.22459548624347,22.081937779146113,22.06691699445229,22.149513390991387,21.661468527169227,33987700.0,42026600.0,37718200.0,43845200.0,35349700.0,-1.1662687880613753,-1.399536089516673,-2.8323646381770984,1.0996161505587798,1.2141687838118198,0.4350760662594322,1.3508892310295062,2.8444330612837243,2.5658129020026372,0.578140159538794,0.6070851073623448,0.6034204010598647,-1.831859573218105,0.7047013328782972,0.8060987873249624,0.5899384757786578,0.0,0.3829238295155918,0.3198540094264626,0.0,1.3508892310295062,2.8444330612837243,0.0,36.39003807506376,56.20989671432466,0.0,0.8875191516567016,1.4194080859802005,0.0,1.1527993950752773
2010-03-26,22.2696475982666,22.67509703027611,22.21708965680533,22.592505161067542,55595500,MSFT,4,26,12,3,1,2010,0,0,False,True,22.53243637084961,22.262136459350582,22.43482780456543,22.217086791992188,21.97681999206543,22.952901290470393,22.41230321597171,22.449844767033408,22.44984397363454,22.059410414253648,22.3747611309316,22.22459548624347,22.081937779146113,22.03688754503395,21.804129235012688,73168700.0,33987700.0,42026600.0,81332100.0,31700200.0,-0.2360199282116393,0.37088111736940377,-1.3149180062641208,2.2252353154742055,-1.1662687880613753,0.03373952419047921,0.2365783001458066,1.3324384797568367,2.056644010417246,0.45800737347077813,0.2665880831938998,-1.4290472017122922,-1.7880824565740396,0.2365653750025308,1.0379760321526414,0.7463106277498806,0.0,0.3919340184896292,0.3401266288494444,0.0,0.2365783001458066,1.3324384797568367,0.0,14.631456840443601,12.931225004834502,0.0,-0.33600986243979003,0.10464436938750765,0.0,-0.24017373549072207
2010-03-29,22.217086791992188,22.389777557981795,22.187052868117657,22.30718569942315,33336000,MSFT,0,29,13,3,1,2010,0,0,True,False,22.2696475982666,22.53243637084961,22.262136459350582,22.224592208862305,21.991832733154297,22.67509703027611,22.952901290470393,22.41230321597171,22.29967557610059,22.05189913417226,22.21708965680533,22.3747611309316,22.22459548624347,22.06691699445229,21.78159961354343,55595500.0,73168700.0,33987700.0,37718200.0,37512000.0,0.6083368417582502,-1.013877566158139,-0.912470922426134,2.9063751915325176,-0.2360199282116393,-1.399536089516673,-0.03377077428274866,1.0242623321625288,0.9124719715152138,0.20272468986413728,0.1685617205701597,-0.40390082659908727,-0.7712929060701814,0.1353668919123924,1.0461136088526557,0.755478996194213,0.0,0.38592724013279633,0.3333691457729753,0.0,-0.03377077428274866,1.0242623321625288,0.0,-30.000062994903708,-31.70520643318272,0.0,-0.5645568251373967,-0.23264128853891508,0.0,-0.4003831245334605
2010-03-30,22.35224151611328,22.419816427641607,22.149516781528305,22.24712419145998,34954800,MSFT,1,30,13,3,1,2010,0,0,False,False,22.217086791992188,22.2696475982666,22.53243637084961,22.43482780456543,22.051898956298828,22.389777557981795,22.67509703027611,22.952901290470393,22.449844767033408,22.141997841051047,22.187052868117657,22.21708965680533,22.3747611309316,22.081937779146113,21.924257676153225,33336000.0,55595500.0,73168700.0,42026600.0,36723500.0,-1.612405550911633,-2.0490379223095045,-1.4108356574769276,3.5270123454093305,0.6083368417582502,0.37088111736940377,-0.3681164356222122,1.361980482540992,1.2092731098957012,0.27029964611330115,0.13519954145662594,0.47249848451716364,-0.3014070688152983,0.9152557890293983,0.9782948940973514,0.7710670604155286,0.0,0.36640577177799755,0.3386250938945231,0.0,-0.3681164356222122,1.361980482540992,0.0,-24.354242743873755,-28.128376551478816,0.0,0.11435526814200792,0.23908695637373523,0.0,0.04856011519078485
2010-03-31,21.991832733154297,22.314688743565885,21.901732415579364,22.25462234254792,63760000,MSFT,2,31,13,3,1,2010,0,1,False,False,22.35224151611328,22.217086791992188,22.2696475982666,22.262136459350582,22.247116088867188,22.419816427641607,22.389777557981795,22.67509703027611,22.41230321597171,22.427316742043164,22.149516781528305,22.187052868117657,22.21708965680533,22.22459548624347,22.074425347677657,34954800.0,33336000.0,55595500.0,33987700.0,50385700.0,-0.4437880342971656,-0.06826507490771405,2.150909267207246,5.39435461447102,-1.612405550911633,-1.013877566158139,-1.2141859191719728,-1.1474896552575609,1.87777132082293,0.41295632798652093,-0.43673102536491104,-1.1808315834288603,-1.4468317892387303,0.4113844323604374,1.180652017987766,0.8964626577761542,0.0,0.414461128220389,0.34613422537348126,0.0,-1.2141859191719728,-1.1474896552575609,0.0,22.232233575522887,27.590225660203373,0.0,-1.2608121687489149,-1.2641385152319717,0.0,0.8240699417533501
2010-04-01,21.89423561096191,22.17955224200677,21.488787545920182,22.036893926484343,74768100,MSFT,3,1,13,4,2,2010,1,0,False,False,21.991832733154297,22.35224151611328,22.217086791992188,22.53243637084961,22.232105255126953,22.314688743565885,22.419816427641607,22.389777557981795,22.952901290470393,22.314695687166108,21.901732415579364,22.149516781528305,22.187052868117657,22.3747611309316,22.149513390991387,63760000.0,34954800.0,33336000.0,73168700.0,43845200.0,0.37719691416022716,0.5486682722233294,4.046595117905638,5.178299111803986,-0.4437880342971656,-2.0490379223095045,-2.8323646381770984,-1.5197375160282078,3.1550071368590733,0.690764696086589,0.20489967287770755,-0.6473612660583838,-1.286394909742532,1.8867889320200657,0.8599557629958356,0.9022783673761704,0.0,0.4144611012137446,0.3986924653646682,0.0,-2.8323646381770984,-1.5197375160282078,0.0,42.46188471364376,40.89969672911049,0.0,-1.1324142646917057,-1.552980203134302,0.0,0.1726489962358846
2010-04-05,21.97681999206543,22.09695281715396,21.796620754432627,21.87170269604078,34331200,MSFT,0,5,14,4,2,2010,0,0,True,False,21.89423561096191,21.991832733154297,22.35224151611328,22.2696475982666,22.217086791992188,22.17955224200677,22.314688743565885,22.419816427641607,22.67509703027611,22.44984397363454,21.488787545920182,21.901732415579364,22.149516781528305,22.21708965680533,22.03688754503395,74768100.0,63760000.0,34954800.0,55595500.0,81332100.0,0.17082700387593963,0.27332494198364365,3.587323686839561,6.047170054494022,0.37719691416022716,-0.06826507490771405,-1.3149180062641208,-1.0814505167858424,1.3665856244432268,0.3003320627213313,-0.10291711170700744,0.4806086544129763,-0.5436624048690973,0.8267301599774657,0.8693925629237259,0.9175898403133179,0.0,0.38292603906385525,0.3874300287767422,0.0,-1.3149180062641208,-1.0814505167858424,0.0,-28.817777807266097,-29.01596785091931,0.0,-0.4963376636054395,-1.0747666961583136,0.0,-0.5408309158585012
2010-04-06,22.01436233520508,22.20957854616743,21.759079707954022,21.88672102157955,47366800,MSFT,1,6,14,4,2,2010,0,0,False,False,21.97681999206543,21.89423561096191,21.991832733154297,22.217086791992188,22.224592208862305,22.09695281715396,22.17955224200677,22.314688743565885,22.389777557981795,22.29967557610059,21.796620754432627,21.488787545920182,21.901732415579364,22.187052868117657,22.06691699445229,34331200.0,74768100.0,63760000.0,33336000.0,37718200.0,0.1023231425490323,2.046367545767702,3.85401286065874,6.9576964418058385,0.17082700387593963,0.5486682722233294,-0.912470922426134,-0.9459335482132736,2.0463860426834963,0.4504988382134094,-0.40997273726776223,0.5831906638718587,-0.8789730546059251,1.1732234574136924,0.8911218698364121,0.9209082863265741,0.0,0.43248086873370967,0.40920405443325303,0.0,-0.912470922426134,-0.9459335482132736,0.0,-7.189762243177289,-3.978832967021384,0.0,-0.14304748062013983,-0.8119123062280909,0.0,0.3797012629910985
2010-04-07,22.036888122558594,22.19456193074312,21.879212882277717,21.89422984460853,58318800,MSFT,2,7,14,4,2,2010,0,0,False,False,22.01436233520508,21.97681999206543,21.89423561096191,22.35224151611328,22.43482780456543,22.20957854616743,22.09695281715396,22.17955224200677,22.419816427641607,22.449844767033408,21.759079707954022,21.796620754432627,21.488787545920182,22.149516781528305,22.081937779146113,47366800.0,34331200.0,74768100.0,34954800.0,42026600.0,1.9420572292316418,3.3730649881474895,5.008509845697584,6.746147286802917,0.1023231425490323,0.27332494198364365,-1.4108356574769276,-1.7737585751643525,1.431005352078676,0.31534904846540357,-0.5457005239004159,0.6515793383122437,-0.7104164014434644,0.7206623068629449,0.8036553976430251,0.851356570912511,0.0,0.4414907492041301,0.40394826049106386,0.0,-1.4108356574769276,-1.7737585751643525,0.0,4.684738438937486,14.44313009186251,0.0,0.24592088134756107,-0.5320779097589434,0.0,0.23121680164165626
2010-04-08,22.46485710144043,22.509906547467217,21.9993413855101,22.014358344884386,63713800,MSFT,3,8,14,4,2,2010,0,0,False,False,22.036888122558594,22.01436233520508,21.97681999206543,21.991832733154297,22.262136459350582,22.19456193074312,22.20957854616743,22.09695281715396,22.314688743565885,22.41230321597171,21.879212882277717,21.759079707954022,21.796620754432627,21.901732415579364,22.22459548624347,58318800.0,47366800.0,34331200.0,63760000.0,33987700.0,1.4037462042756577,1.3369440030633228,3.1751507358388054,4.913094734232426,1.9420572292316418,2.046367545767702,2.150909267207246,0.9106073105786816,2.2727282869045293,0.5105651619571177,-0.10223665677707466,2.0463860426834986,-0.2001316439576979,2.116043875008652,0.8982139418181342,1.0498152021237854,0.0,0.4535019614887702,0.43398154485457957,0.0,2.150909267207246,0.9106073105786816,0.0,14.387966622465376,18.138664009462403,0.0,1.7548438509320086,1.3069481430405983,0.0,0.09250876218303539
