Date,close,high,low,open,volume,ma_5,ma_10,ma_20,ma_50,ma_200,ema_5,ema_10,ema_20,ema_50,ema_200,bb_upper,bb_middle,bb_lower,bb_width,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_hist,stoch_k,stoch_d,atr_14,obv,upper_channel_20,lower_channel_20,middle_channel_20,volume_change,volume_ma_5,volume_ma_20,rel_volume,price_up,volume_price_trend,momentum_10,momentum_20,momentum_50,roc_10,roc_20,roc_50,daily_return,volatility_5,volatility_21,volatility_63,true_range,volatility_ratio_5_21
2025-01-02,243.5821990966797,248.826433311358,241.55442975303322,248.65660659999048,55740700,,,,,,,,,,,,,,,,,,,,,,,,55740700.0,,,,,,,,0,0,,,,,,,,,,,,
2025-01-03,243.0927276611328,243.91181916074598,241.624340886356,243.0927276611328,40244100,,,,,,,,,,,,,,,,,,,,,,,,15496600.0,,,,-27.801229622161184,,,,0,0,,,,,,,-0.002009471288797249,,,,2.2874782743899686,
2025-01-06,244.73092651367188,247.05836939894766,242.93290033169586,244.04168187374515,45045600,,,,,,,,,,,,,,,,,,,,,,,,60542200.0,,,,11.93094142992388,,,,1,45045600,,,,,,,0.006738987497901139,,,,4.1254690672517995,
2025-01-07,241.94400024414062,245.28032844029428,241.08494412707995,242.71314361950866,40856000,,,,,,,,,,,,,,,,,,,,,,,,19686200.0,,,,-9.300797414175854,,,,0,0,,,,,,,-0.011387715926354569,,,,4.195384313214333,
2025-01-08,242.43344116210938,243.44234164075266,239.78635773622742,241.65429905026372,37628900,243.1566589355469,,,,,243.1566589355469,,,,,,,,,,,,,,,,,,57315100.0,,,,-7.898717446641868,43903060.0,,,1,37628900,,,,,,,0.0020229512510121506,,,,3.655983904525243,
2025-01-10,236.58987426757812,239.8962364632009,232.74409661721964,239.7463920626497,61710900,241.75819396972656,,,,,240.96773071289064,,,,,,,,,,,,,,,,,,-4395800.0,,,,63.99868186420543,45097100.0,,,0,0,,,,,,,-0.024103798826267564,19.42651426219492,,,9.689344544889735,
2025-01-13,234.14256286621094,234.41227060505477,229.46771001708314,233.27352322575203,49630700,239.9681610107422,,,,,238.69267476399742,,,,,,,,,,,,,,,,,,-54026500.0,,,,-19.575472080296997,46974420.0,,,0,0,,,,,,,-0.010344108804078989,19.316876519945126,,,7.12216425049499,
2025-01-14,233.02378845214844,235.8606656353981,232.21468051006943,234.49217517741417,39435300,237.6267333984375,,,,,236.8030459933811,,,,,,,,,10.37693610764821,,,,,,,,,-93461800.0,,,,-20.542527105199003,45852360.0,,,0,0,,,,,,,-0.004778176169113579,15.316699030998723,,,3.6459851253286786,
2025-01-15,237.60874938964844,238.6975638581554,234.17252500331003,234.38230107288462,39832000,236.75968322753906,,,,,237.07161379213687,,,,,,,,,41.06196969079142,,,,,,,,,-53629800.0,,,,1.0059515205919523,45647560.0,,,1,39832000,,,,,,,0.01967593509639265,25.604489926753438,,,5.673775406006968,
2025-01-16,228.00930786132812,237.74859991927732,227.7795647267042,237.089336348529,71759100,233.8748565673828,238.51575775146483,,,,234.05084514853397,238.51575775146483,,,,,,,,22.36121037218869,,,,,,,,,-125388900.0,,,,80.15439847358907,52473600.0,,,0,0,,,,,,,-0.04040020223572849,35.596920473671055,,,9.96903519257313,
